material_id,formula,density,elements,band_gap,crystal_system,crystal_code,pages,refractive_index
mp-1245093,Zn,6.725669426370674,Zn,0.0,Triclinic,7,"['Motulevich', 'Querry', 'Werner-DFT', 'Werner']",13.103000000000002
mp-1245006,Ti,4.556796025430404,Ti,0.0,Triclinic,7,"['Johnson', 'Mash', 'Ordal', 'Palm', 'Rakic-BB', 'Rakic-LD', 'Werner-DFT', 'Werner', 'Windt']",2.3728
mp-1244990,Si,2.6634947554856963,Si,0.0,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-1245041,Si,2.431303226576872,Si,0.027599999999999,Triclinic,7,"['Aspnes', 'Chandler-Horowitz', 'Daub', 'Edwards', 'Franta-100K', 'Franta-10K', 'Franta-150K', 'Franta-200K', 'Franta-20C', 'Franta-250K', 'Franta-25C', 'Franta-300K', 'Franta-350K', 'Franta-400K', 'Franta-450K', 'Franta-500K', 'Franta-50K', 'Franta', 'Green-1995', 'Green-2008', 'Jellison', 'Li-100K', 'Li-150K', 'Li-200K', 'Li-250K', 'Li-293K', 'Li-350K', 'Li-400K', 'Li-450K', 'Li-500K', 'Li-550K', 'Li-600K', 'Li-650K', 'Li-700K', 'Li-750K', 'Pierce', 'Salzberg', 'Schinke', 'Shkondin', 'Sik-250C', 'Sik-25C', 'Sik-500C', 'Sik-700C', 'Sik-850C', 'Vuye-100C', 'Vuye-150C', 'Vuye-200C', 'Vuye-20C', 'Vuye-250C', 'Vuye-300C', 'Vuye-350C', 'Vuye-400C', 'Vuye-450C']",4.299202898550725
mp-1245067,Al,2.500219231866401,Al,0.0,Triclinic,7,"['Cheng', 'Hagemann', 'Larruquert', 'Mathewson', 'McPeak', 'Ordal', 'Rakic-BB', 'Rakic-LD', 'Rakic']",0.48023059405940594
mp-1245129,Al,2.550587009119748,Al,0.0,Triclinic,7,"['Cheng', 'Hagemann', 'Larruquert', 'Mathewson', 'McPeak', 'Ordal', 'Rakic-BB', 'Rakic-LD', 'Rakic']",0.48023059405940594
mp-1245108,Fe,7.965581258140822,Fe,0.0,Triclinic,7,"['Johnson', 'Ordal', 'Querry', 'Werner-DFT', 'Werner']",2.7592000000000003
mp-1245152,Al,2.550639655181896,Al,0.0,Triclinic,7,"['Cheng', 'Hagemann', 'Larruquert', 'Mathewson', 'McPeak', 'Ordal', 'Rakic-BB', 'Rakic-LD', 'Rakic']",0.48023059405940594
mp-1245164,Ti,4.538689173715564,Ti,0.006299999999999,Triclinic,7,"['Johnson', 'Mash', 'Ordal', 'Palm', 'Rakic-BB', 'Rakic-LD', 'Werner-DFT', 'Werner', 'Windt']",2.3728
mp-1245170,Ti,4.519681018059063,Ti,0.0,Triclinic,7,"['Johnson', 'Mash', 'Ordal', 'Palm', 'Rakic-BB', 'Rakic-LD', 'Werner-DFT', 'Werner', 'Windt']",2.3728
